script,dependency,unique
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgcpu.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgdefault.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgip.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgraid.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgram.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgstorage.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgtemp.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/bgtime.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font16x12.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font16x8.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font24x16.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font32x24.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font48x32.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font64x48.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/font8x6.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/oled/logo1v5.bin,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-blstrdac.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argondashboard.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argoneond.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argoneond.service,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argoneonoled.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argoneon-oledconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argoneon-rtcconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argononed.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argononed.service,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonone-fanconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonone-irconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argononeoled.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonone-oledconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argononeoledd.service,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonone-upsconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-libgpiod.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-rpigpio.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonregister.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonregister-v1.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-rpi-eeprom-config-psu.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonrtc.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-shutdown.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonstatus.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-status.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argonsysinfo.py,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-uninstall.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-unitconfig.sh,
/argon1.sh,$ARGONDOWNLOADSERVER/scripts/argon-versioninfo.sh,
/argon1.sh,download.argon40.com/ar1config.png,
/argon1.sh,download.argon40.com/argoneon.png,
/argon1.sh,download.argon40.com/tools/setntpserver.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgcpu.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgdefault.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgip.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgraid.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgram.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgstorage.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgtemp.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/bgtime.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font16x12.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font16x8.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font24x16.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font32x24.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font48x32.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font64x48.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/font8x6.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/oled/logo1v5.bin,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-blstrdac.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argondashboard.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argoneond.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argoneond.service,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argoneonoled.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argoneon-oledconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argoneon-rtcconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argononed.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argononed.service,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonone-fanconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonone-irconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argononeoled.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonone-oledconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argononeoledd.service,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonone-upsconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-libgpiod.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-rpigpio.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonregister.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonregister-v1.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-rpi-eeprom-config-psu.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonrtc.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-shutdown.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonstatus.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-status.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argonsysinfo.py,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-uninstall.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-unitconfig.sh,
/argon1v5.sh,$ARGONDOWNLOADSERVER/scripts/argon-versioninfo.sh,
/argon1v5.sh,download.argon40.com/ar1config.png,
/argon1v5.sh,download.argon40.com/argoneon.png,
/argon1v5.sh,download.argon40.com/tools/setntpserver.sh,
/argon-eeprom.sh,$ARGONDOWNLOADSERVER/scripts/argon-rpi-eeprom-config-default.py,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argondashboard.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argonkeyboard.py,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argononeupd.py,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argononeupd.service,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argononeupduser.service,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argononeup-lidconfig.sh,unique
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-libgpiod.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argonpowerbutton-rpigpio.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argonregister-v1.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argon-rpi-eeprom-config-psu.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argonsysinfo.py,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argon-uninstall.sh,
/argononeup.sh,$ARGONDOWNLOADSERVER/scripts/argon-versioninfo.sh,
/argononeup.sh,$ARGONDOWNLOADSERVER/ups/upsimg.tar.gz,
/argononeup.sh,download.argon40.com/argon40.png,unique
/argononeup.sh,download.argon40.com/tools/setntpserver.sh,
/scripts/argonone-irconfig.sh,download.argon40.com/argonone-irdecoder.py,unique
/scripts/argonone-irconfig.sh,download.argon40.com/scripts/argonone-irdecoder-libgpiod.py,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argoneon-rtcconfig.sh,
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argononeupsd.py,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argononeupsd.service,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argonrtc.py,
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argonupsrtcd.py,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/scripts/argonupsrtcd.service,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_0.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_1.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_2.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_3.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_4.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_alert.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_charging.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_plug.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/battery_unknown.png,unique
/scripts/argonone-upsconfig.sh,$ARGONDOWNLOADSERVER/ups/upsimg.tar.gz,
